sports
Athletics, 2022-08-16 09:00:00, 100m Wheelchair Male, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-16 16:45:00, Decathlon Male, Final - High Jump Group 2, Canada Games Park
Athletics, 2022-08-16 16:50:00, 4x100m Relay Male, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-16 17:00:00, 4x100m Relay Female, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-16 17:10:00, 4x100m Relay Female, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-16 17:15:00, Discus Male, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-16 17:20:00, Decathlon Male, Final - 400m, Canada Games Park
Athletics, 2022-08-17 09:00:00, Long Jump Male, Qualification - Groups 1-2, Canada Games Park
Athletics, 2022-08-17 09:00:00, Decathlon Male, Final - 100m Hurdles, Canada Games Park
Athletics, 2022-08-17 09:30:00, Shot Put Male, Qualification - Group 1, Canada Games Park
Athletics, 2022-08-17 10:00:00, 200m Male, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 10:00:00, High Jump Female, Qualification - Group 1, Canada Games Park
Athletics, 2022-08-17 10:05:00, 200m Male, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 10:10:00, 200m Male, Qualification - Heat 3, Canada Games Park
Athletics, 2022-08-17 10:15:00, Decathlon Male, Final - Discus, Canada Games Park
Athletics, 2022-08-17 10:20:00, 200m Female, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 10:25:00, 200m Female, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 10:30:00, 200m Female, Qualification - Heat 3, Canada Games Park
Athletics, 2022-08-17 10:40:00, 200m Special Olympics Male, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 10:45:00, 200m Special Olympics Male, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 10:45:00, Shot Put Male, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-17 10:50:00, 200m Special Olympics Male, Qualification - Heat 3, Canada Games Park
Athletics, 2022-08-17 11:00:00, 200m Special Olympics Female, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 11:05:00, 200m Special Olympics Female, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 11:10:00, 200m Special Olympics Female, Qualification - Heat 3, Canada Games Park
Athletics, 2022-08-17 11:25:00, 800m Male, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 11:35:00, 800m Male, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 11:45:00, 800m Male, Qualification - Heat 3, Canada Games Park
Athletics, 2022-08-17 11:45:00, High Jump Female, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-17 11:55:00, 800m Female, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 12:05:00, 800m Female, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 12:15:00, 800m Female, Qualification - Heat 3, Canada Games Park
Athletics, 2022-08-17 12:20:00, Decathlon Male, Final - Pole Vault, Canada Games Park
Athletics, 2022-08-17 12:45:00, Javelin Male, Qualification - Group 1, Canada Games Park
Athletics, 2022-08-17 14:30:00, Triple Jump Female, Qualification - Groups 1-2, Canada Games Park
Athletics, 2022-08-17 15:00:00, 1500m Wheelchair Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-17 15:00:00, High Jump Male, Qualification - Group 1, Canada Games Park
Athletics, 2022-08-17 15:00:00, Shot Put Female, Qualification - Group 1, Canada Games Park
Athletics, 2022-08-17 15:10:00, 1500m Wheelchair Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-17 15:15:00, Javelin Male, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-17 15:15:00, Decathlon Male, Final - Javelin, Canada Games Park
Athletics, 2022-08-17 15:20:00, 110m Hurdles Male, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 15:30:00, 110m Hurdles Male, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 15:40:00, 100m Hurdles Female, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 15:50:00, 100m Hurdles Female, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 16:05:00, 3000m Steeplechase Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-17 16:10:00, Shot Put Female, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-17 16:20:00, 3000m Steeplechase Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-17 16:30:00, High Jump Male, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-17 16:30:00, Hammer Male, Qualification - Group 1, Canada Games Park
Athletics, 2022-08-17 16:45:00, 4x400m Relay Male, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 17:00:00, 4x400m Relay Male, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 17:20:00, 4x400m Relay Female, Qualification - Heat 1, Canada Games Park
Athletics, 2022-08-17 17:35:00, 4x400m Relay Female, Qualification - Heat 2, Canada Games Park
Athletics, 2022-08-17 17:45:00, Hammer Male, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-17 17:50:00, Decathlon Male, Final - 1500m, Canada Games Park
Athletics, 2022-08-19 09:30:00, Heptathlon Female, Final - 100m Hurdles, Canada Games Park
Athletics, 2022-08-19 10:00:00, 100m Wheelchair Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 10:00:00, Pole Vault Male, Qualification - Group 1, Canada Games Park
Athletics, 2022-08-19 10:00:00, Triple Jump Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 10:00:00, Javelin Male, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 10:05:00, 100m Wheelchair Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 10:10:00, 100m Special Olympics Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 10:15:00, 100m Special Olympics Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 10:15:00, Shot Put Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 10:20:00, 100m Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 10:25:00, 100m Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 10:30:00, 100m Wheelchair Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 10:30:00, Heptathlon Female, Final - High Jump, Canada Games Park
Athletics, 2022-08-19 10:35:00, 100m Wheelchair Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 10:40:00, 100m Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 10:45:00, 100m Special Olympics Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 10:50:00, 100m Special Olympics Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 10:55:00, 100m Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 11:15:00, 400m Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 11:25:00, 400m Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 11:35:00, 400m Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 11:40:00, Javelin Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 11:45:00, 400m Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 12:15:00, Pole Vault Male, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-19 12:20:00, Heptathlon Female, Final - Shot Put, Canada Games Park
Athletics, 2022-08-19 13:15:00, Hammer Male, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 15:00:00, High Jump Male, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 15:00:00, Pole Vault Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 15:00:00, Triple Jump Male, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 15:00:00, Shot Put Male, Final - Medal Group, Canada Games Park
Athletics, 2022-08-19 15:20:00, Heptathlon Female, Final - 200m, Canada Games Park
Athletics, 2022-08-19 15:30:00, 4x100m Relay Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 15:40:00, 4x100m Relay Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 15:50:00, 4x100m Relay Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 16:00:00, 4x100m Relay Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 16:10:00, 1500m Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 16:20:00, 1500m Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 16:30:00, 400m Hurdles Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 16:40:00, 400m Hurdles Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-19 16:45:00, Discus Female, Qualification - Group 1, Canada Games Park
Athletics, 2022-08-19 16:50:00, 400m Hurdles Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 17:00:00, 400m Hurdles Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-19 18:15:00, Discus Female, Qualification - Group 2, Canada Games Park
Athletics, 2022-08-20 09:00:00, 200m Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 09:00:00, Discus Male, Final - Medal Group, Canada Games Park
Athletics, 2022-08-20 09:05:00, 200m Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 09:10:00, 200m Special Olympics Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 09:15:00, 200m Special Olympics Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 09:20:00, 200m Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 09:25:00, 200m Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 09:30:00, 200m Special Olympics Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 09:35:00, 200m Special Olympics Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 10:00:00, Pole Vault Male, Final - Medal Group, Canada Games Park
Athletics, 2022-08-20 10:15:00, 5000m Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 10:15:00, 5000m Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 10:30:00, Heptathlon Female, Final - Long Jump, Canada Games Park
Athletics, 2022-08-20 10:50:00, 800m Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 11:00:00, 800m Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 11:10:00, 800m Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 11:20:00, 800m Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 11:30:00, Discus Para Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-20 11:35:00, 110m Hurdles Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 11:45:00, 110m Hurdles Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 12:00:00, 100m Hurdles Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 12:10:00, 100m Hurdles Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 12:30:00, Long Jump Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-20 12:45:00, Heptathlon Female, Final - Javelin, Canada Games Park
Athletics, 2022-08-20 14:30:00, Discus Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-20 15:00:00, 400m Wheelchair Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 15:00:00, High Jump Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-20 15:10:00, 400m Wheelchair Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 15:20:00, 400m Wheelchair Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 15:30:00, 400m Wheelchair Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 15:40:00, Heptathlon Female, Final - 800m, Canada Games Park
Athletics, 2022-08-20 15:55:00, 4x400m Relay Male, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 16:10:00, 4x400m Relay Female, Final - Consolation Heat, Canada Games Park
Athletics, 2022-08-20 16:15:00, Hammer Female, Final - Medal Group, Canada Games Park
Athletics, 2022-08-20 16:25:00, 4x400m Relay Male, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 16:40:00, 4x400m Relay Female, Final - Medal Heat, Canada Games Park
Athletics, 2022-08-20 17:00:00, Long Jump Male, Final - Medal Group, Canada Games Park
Athletics, 2022-08-20 17:45:00, Discus Para Male, Final - Medal Group, Canada Games Park
Baseball, 2022-08-07 10:00:00, Male, Preliminary | Pool A - Game 1 - ON vs SK, Welland Baseball Stadium
Baseball, 2022-08-07 10:00:00, Male, Preliminary | Pool A - Game 2 - BC vs NS, Oakes Park
Baseball, 2022-08-07 13:00:00, Male, Preliminary | Pool B - Game 3 - NB vs QC, Welland Baseball Stadium
Baseball, 2022-08-07 13:00:00, Male, Preliminary | Pool B - Game 4 - AB vs PE, Oakes Park
Baseball, 2022-08-07 16:00:00, Male, Preliminary | Pool A - Game 5 - NS vs SK, Welland Baseball Stadium
Baseball, 2022-08-07 16:00:00, Male, Preliminary | Pool B - Game 6 - MB vs NL, Oakes Park
Baseball, 2022-08-07 19:00:00, Male, Preliminary | Pool A - Game 7 - BC vs ON, Welland Baseball Stadium
Baseball, 2022-08-08 10:00:00, Male, Preliminary | Pool B - Game 8 - AB vs NL, Welland Baseball Stadium
Baseball, 2022-08-08 10:00:00, Male, Preliminary | Pool B - Game 9 - PE vs QC, Oakes Park
Baseball, 2022-08-08 13:00:00, Male, Preliminary | Pool A - Game 10 - NS vs ON, Oakes Park
Baseball, 2022-08-08 13:00:00, Male, Preliminary | Pool B - Game 11 - MB vs NB, Welland Baseball Stadium
Baseball, 2022-08-08 16:00:00, Male, Preliminary | Pool A - Game 12 - BC vs SK, Oakes Park
Baseball, 2022-08-08 16:00:00, Male, Preliminary | Pool B - Game 13 - NL vs PE, Welland Baseball Stadium
Baseball, 2022-08-08 19:00:00, Male, Preliminary | Pool B - Game 14 - AB vs NB, Welland Baseball Stadium
Baseball, 2022-08-08 19:00:00, Male, Preliminary | Pool B - Game 15 - MB vs QC, Oakes Park
Baseball, 2022-08-09 10:00:00, Male, Preliminary | Pool A - Game 16 - ON vs SK, Oakes Park
Baseball, 2022-08-09 10:00:00, Male, Preliminary | Pool A - Game 17 - BC vs NS, Welland Baseball Stadium
Baseball, 2022-08-09 13:00:00, Male, Preliminary | Pool B - Game 18 - MB vs PE, Welland Baseball Stadium
Baseball, 2022-08-09 13:00:00, Male, Preliminary | Pool B - Game 19 - AB vs QC, Oakes Park
Baseball, 2022-08-09 16:00:00, Male, Preliminary | Pool B - Game 20 - NB vs NL, Oakes Park
Baseball, 2022-08-09 19:00:00, Male, Preliminary | Pool A - Game 21 - NS vs SK, Welland Baseball Stadium
Baseball, 2022-08-09 19:00:00, Male, Preliminary | Pool A - Game 22 - BC vs ON, Oakes Park
Baseball, 2022-08-10 13:00:00, Male, Preliminary | Pool B - Game 23 - NB vs PE, Oakes Park
Baseball, 2022-08-10 13:00:00, Male, Preliminary | Pool B - Game 24 - NL vs QC, Welland Baseball Stadium
Baseball, 2022-08-10 16:00:00, Male, Preliminary | Pool A - Game 26 - BC vs SK, Welland Baseball Stadium
Baseball, 2022-08-10 19:00:00, Male, Preliminary | Pool A - Game 27 - NS vs ON, Welland Baseball Stadium
Baseball, 2022-08-10 19:00:00, Male, Preliminary | Pool B - Game 25 - AB vs MB, Oakes Park
Baseball, 2022-08-12 10:00:00, Male, Quarterfinal - Game 28 (3A vs. 2B), Welland Baseball Stadium
Baseball, 2022-08-12 11:00:00, Male, Final - 9th / 10th Place Game (5B vs. 6B), Oakes Park
Baseball, 2022-08-12 13:00:00, Male, Final - 7th / 8th Place Game (3B vs. 4B), Welland Baseball Stadium
Baseball, 2022-08-12 16:00:00, Male, Semifinal - Game 31 (1A vs. 1B), Welland Baseball Stadium
Baseball, 2022-08-12 19:00:00, Male, Semifinal - Game 32 (2A vs. W28), Welland Baseball Stadium
Baseball, 2022-08-13 11:00:00, Male, Final - 5th / 6th Place Game (L28 vs. 4A), Welland Baseball Stadium
Baseball, 2022-08-13 15:00:00, Male, Final - Bronze Medal Game (L31 vs. L32), Welland Baseball Stadium
Baseball, 2022-08-13 19:00:00, Male, Final - Gold Medal Game (W31 vs. W32), Welland Baseball Stadium
Basketball, 2022-08-08 08:30:00, Female, Preliminary | Pool B - Game 1 - MB vs NT, Niagara College - Welland Campus
Basketball, 2022-08-08 08:30:00, Male, Preliminary | Pool B - Game 1 - NS vs NT, Meridian Centre
Basketball, 2022-08-08 10:45:00, Female, Preliminary | Pool C - Game 2 - NL vs NS, Niagara College - Welland Campus
Basketball, 2022-08-08 10:45:00, Male, Preliminary | Pool C - Game 2 - BC vs NL, Meridian Centre
Basketball, 2022-08-08 13:00:00, Female, Preliminary | Pool C - Game 3 - NB vs YT, Niagara College - Welland Campus
Basketball, 2022-08-08 13:00:00, Male, Preliminary | Pool C - Game 3 - AB vs YT, Meridian Centre
Basketball, 2022-08-08 15:15:00, Female, Preliminary | Pool A - Game 4 - QC vs SK, Niagara College - Welland Campus
Basketball, 2022-08-08 15:15:00, Male, Preliminary | Pool A - Game 4 - QC vs SK, Meridian Centre
Basketball, 2022-08-08 17:30:00, Female, Preliminary | Pool B - Game 5 - ON vs PE, Niagara College - Welland Campus
Basketball, 2022-08-08 17:30:00, Male, Preliminary | Pool B - Game 5 - MB vs PE, Meridian Centre
Basketball, 2022-08-08 19:45:00, Female, Preliminary | Pool A - Game 6 - AB vs BC, Niagara College - Welland Campus
Basketball, 2022-08-08 19:45:00, Male, Preliminary | Pool A - Game 6 - NB vs ON, Meridian Centre
Basketball, 2022-08-09 08:30:00, Female, Preliminary | Pool C - Game 7 (L2 vs. L3), Meridian Centre
Basketball, 2022-08-09 08:30:00, Male, Preliminary | Pool C - Game 7 (L2 vs. L3), Niagara College - Welland Campus
Basketball, 2022-08-09 10:45:00, Female, Preliminary | Pool C - Game 8 (W3 vs. W2), Meridian Centre
Basketball, 2022-08-09 10:45:00, Male, Preliminary | Pool C - Game 8 (W3 vs. W2), Niagara College - Welland Campus
Basketball, 2022-08-09 13:00:00, Female, Preliminary | Pool B - Game 9 (W5 vs. W1), Meridian Centre
Basketball, 2022-08-09 13:00:00, Male, Preliminary | Pool B - Game 9 (W5 vs. W1), Niagara College - Welland Campus
Basketball, 2022-08-09 15:15:00, Female, Preliminary | Pool A - Game 10 (L4 vs. L6), Meridian Centre
Basketball, 2022-08-09 15:15:00, Male, Preliminary | Pool A - Game 10 (L4 vs. L6), Niagara College - Welland Campus
Basketball, 2022-08-09 17:30:00, Female, Preliminary | Pool B - Game 11 (L5 vs. L1), Meridian Centre
Basketball, 2022-08-09 17:30:00, Male, Preliminary | Pool B - Game 11 (L5 vs. L1), Niagara College - Welland Campus
Basketball, 2022-08-09 19:45:00, Female, Preliminary | Pool A - Game 12 (W6 vs. W4), Meridian Centre
Basketball, 2022-08-09 19:45:00, Male, Preliminary | Pool A - Game 12 (W6 vs. W4), Niagara College - Welland Campus
Basketball, 2022-08-10 10:45:00, Female, Qualification - Game 13 (1B vs. 4C), Niagara College - Welland Campus
Basketball, 2022-08-10 10:45:00, Male, Qualification - Game 13 (1B vs. 4C), Meridian Centre
Basketball, 2022-08-10 13:00:00, Female, Qualification - Game 14 (1C vs. 4B), Niagara College - Welland Campus
Basketball, 2022-08-10 13:00:00, Male, Qualification - Game 14 (1C vs. 4B), Meridian Centre
Basketball, 2022-08-10 15:15:00, Female, Qualification - Game 15 (2C vs. 3B), Niagara College - Welland Campus
Basketball, 2022-08-10 15:15:00, Male, Qualification - Game 15 (2C vs. 3B), Meridian Centre
Basketball, 2022-08-10 17:30:00, Female, Qualification - Game 16 (2B vs. 3C), Niagara College - Welland Campus
Basketball, 2022-08-10 17:30:00, Male, Qualification - Game 16 (2B vs. 3C), Meridian Centre
Basketball, 2022-08-11 08:30:00, Female, Quarterfinal - Game 17 (4A vs. W13), Meridian Centre
Basketball, 2022-08-11 08:30:00, Male, Quarterfinal - Game 17 (4A vs. W13), Niagara College - Welland Campus
Basketball, 2022-08-11 10:45:00, Female, Quarterfinal - Game 18 (3A vs. W14), Meridian Centre
Basketball, 2022-08-11 10:45:00, Male, Quarterfinal - Game 18 (3A vs. W14), Niagara College - Welland Campus
Basketball, 2022-08-11 13:00:00, Female, Consolation - Game 19 (L15 vs. L14), Meridian Centre
Basketball, 2022-08-11 13:00:00, Male, Consolation - Game 19 (L15 vs. L14), Niagara College - Welland Campus
Basketball, 2022-08-11 15:15:00, Female, Consolation - Game 20 (L16 vs. L13), Meridian Centre
Basketball, 2022-08-11 17:30:00, Female, Quarterfinal - Game 21 (2A vs. W15), Meridian Centre
Basketball, 2022-08-11 17:30:00, Male, Consolation - Game 20 (L16 vs. L13), Niagara College - Welland Campus
Basketball, 2022-08-11 17:30:00, Male, Quarterfinal - Game 21 (2A vs. W15), Niagara College - Welland Campus
Basketball, 2022-08-11 19:45:00, Female, Quarterfinal - Game 22 (1A vs. W16), Meridian Centre
Basketball, 2022-08-11 19:45:00, Male, Quarterfinal - Game 22 (1A vs. W16), Niagara College - Welland Campus
Basketball, 2022-08-12 08:30:00, Female, Final - 11th / 12th Place Game (L19 vs. L20), Niagara College - Welland Campus
Basketball, 2022-08-12 08:30:00, Male, Final - 11th / 12th Place Game (L19 vs. L20), Meridian Centre
Basketball, 2022-08-12 10:45:00, Female, Consolation - Game 24 (L18 vs. L21), Niagara College - Welland Campus
Basketball, 2022-08-12 10:45:00, Male, Consolation - Game 24 (L18 vs. L21), Meridian Centre
Basketball, 2022-08-12 13:00:00, Female, Consolation - Game 25 (L17 vs. L22), Niagara College - Welland Campus
Basketball, 2022-08-12 13:00:00, Male, Consolation - Game 25 (L17 vs. L22), Meridian Centre
Basketball, 2022-08-12 15:15:00, Female, Final - 9th / 10th Place Game (W19 vs. W20), Niagara College - Welland Campus
Basketball, 2022-08-12 15:15:00, Male, Final - 9th / 10th Place Game (W19 vs. W20), Meridian Centre
Basketball, 2022-08-12 17:30:00, Female, Semifinal - Game 27 (W18 vs. W21), Niagara College - Welland Campus
Basketball, 2022-08-12 17:30:00, Male, Semifinal - Game 27 (W18 vs. W21), Meridian Centre
Basketball, 2022-08-12 19:45:00, Female, Semifinal - Game 28 (W17 vs. W22), Niagara College - Welland Campus
Basketball, 2022-08-12 19:45:00, Male, Semifinal - Game 28 (W17 vs. W22), Meridian Centre
Basketball, 2022-08-13 08:30:00, Female, Final - 7th / 8th Place Game (L24 vs. L25), Niagara College - Welland Campus
